home, homescore, awayscore, away, date, stadium
Barcelona, 3, 2, Alav̩s, "Sunday, April 14, 2002"," Camp Nou (55,000)"
Real Zaragoza, 2, 2, Athletic Bilbao, "Sunday, April 14, 2002"," La Romareda Stadium (35,000)"
Tenerife, 2, 1, Real Betis, "Sunday, April 14, 2002","  (18,000)"
Osasuna, 3, 1, Real Madrid, "Sunday, April 14, 2002"," El Sadar (16,000)"
Mallorca, 1, 1, Valencia, "Saturday, April 13, 2002"," Son Moix (22,000)"
Alav̩s, 2, 1, Villarreal, "Sunday, April 7, 2002"," Mendizorroza Stadium (12,500)"
Espanyol, 2, 0, Celta Vigo, "Sunday, April 7, 2002"," Montjuic Stadium (18,000)"
Malaga, 2, 0, Tenerife, "Sunday, April 7, 2002"," La Rosaleda (10,000)"
Real Valladolid, 1, 1, Sevilla FC, "Sunday, April 7, 2002"," Nuevo Jose Zorilla Stadium (22,500)"
Valencia, 4, 0, Real Sociedad, "Sunday, April 7, 2002"," Mestalla Stadium (40,000)"
Real Betis, 0, 0, Osasuna, "Sunday, April 7, 2002"," Estadio Manuel Ruiz de Lopera (40,500)"
Real Madrid, 3, 1, Rayo Vallecano, "Saturday, April 6, 2002"," Santiago Bernabeu (60,000)"
Deportivo La Coru̱a, 5, 0, Mallorca, "Saturday, April 6, 2002"," Riazor Stadium (26,000)"
Athletic Bilbao, 0, 2, Barcelona, "Saturday, April 6, 2002"," San Mames Stadium (35,000)"
Las Palmas, 1, 1, Real Zaragoza, "Saturday, April 6, 2002"," Estadio Insular (18,000)"
Osasuna, 0, 2, Malaga, "Sunday, March 31, 2002","  (16,000)"
Mallorca, 2, 1, Espanyol, "Sunday, March 31, 2002"," Son Moix (16,000)"
Real Zaragoza, 0, 0, Real Valladolid, "Sunday, March 31, 2002"," La Romareda Stadium (34,000)"
Villarreal, 5, 2, Athletic Bilbao, "Sunday, March 31, 2002"," El Madrigal (18,000)"
Rayo Vallecano, 0, 0, Real Betis, "Sunday, March 31, 2002"," Nuevo Vallecas Stadium (14,500)"
Sevilla FC, 0, 1, Real Madrid, "Saturday, March 30, 2002"," Estadio Ramon Sanchez Pizjuan (45,000)"
Real Sociedad, 1, 1, Deportivo La Coru̱a, "Saturday, March 30, 2002"," Anoeta Stadium (24,000)"
Barcelona, 1, 1, Las Palmas, "Saturday, March 30, 2002"," Camp Nou (50,000)"
Celta Vigo, 3, 1, Alav̩s, "Saturday, March 30, 2002"," Balaidos Stadium (18,000)"
Tenerife, 0, 1, Valencia, "Saturday, March 30, 2002"," Estadio Heliodoro Rodriguez Lopez  (18,750)"
Athletic Bilbao, 1, 6, Celta Vigo, "Sunday, March 24, 2002"," San Mames Stadium (34,000)"
Deportivo La Coru̱a, 3, 1, Tenerife, "Sunday, March 24, 2002"," Riazor Stadium (31,000)"
Espanyol, 1, 2, Alav̩s, "Sunday, March 24, 2002"," Montjuic Stadium (17,100)"
Mallorca, 0, 2, Real Sociedad, "Sunday, March 24, 2002"," Son Moix (17,500)"
Real Madrid, 3, 1, Real Zaragoza, "Sunday, March 24, 2002"," Santiago Bernabeu (75,000)"
Valencia, 2, 1, Osasuna, "Sunday, March 24, 2002"," Mestalla Stadium (40,000)"
Real Valladolid, 1, 2, Barcelona, "Sunday, March 24, 2002"," Nuevo Jose Zorilla Stadium (16,300)"
Malaga, 0, 0, Rayo Vallecano, "Saturday, March 23, 2002"," La Rosaleda (19,000)"
Real Betis, 0, 0, Sevilla FC, "Saturday, March 23, 2002"," Estadio Manuel Ruiz de Lopera (51,000)"
Las Palmas, 3, 2, Villarreal, "Saturday, March 23, 2002"," Estadio Insular (15,000)"
Alav̩s, 2, 3, Athletic Bilbao, "Sunday, March 17, 2002"," Mendizorroza Stadium (11,000)"
Celta Vigo, 3, 2, Las Palmas, "Sunday, March 17, 2002"," Balaidos Stadium (20,000)"
Real Sociedad, 1, 0, Espanyol, "Sunday, March 17, 2002"," Anoeta Stadium (26,000)"
Real Zaragoza, 1, 1, Real Betis, "Sunday, March 17, 2002"," La Romareda Stadium (31,500)"
Sevilla FC, 0, 2, Malaga, "Sunday, March 17, 2002"," Estadio Ramon Sanchez Pizjuan (23,000)"
Villarreal, 2, 2, Real Valladolid, "Sunday, March 17, 2002"," El Madrigal (17,000)"
Tenerife, 0, 0, Mallorca, "Sunday, March 17, 2002","  (20,000)"
Rayo Vallecano, 2, 1, Valencia, "Sunday, March 17, 2002"," Nuevo Vallecas Stadium (10,850)"
Osasuna, 1, 3, Deportivo La Coru̱a, "Saturday, March 16, 2002"," El Sadar (16,000)"
Barcelona, 1, 1, Real Madrid, "Saturday, March 16, 2002"," Camp Nou (100,000)"
Espanyol, 2, 0, Athletic Bilbao, "Sunday, March 10, 2002"," Montjuic Stadium (22,700)"
Malaga, 2, 1, Real Zaragoza, "Sunday, March 10, 2002"," La Rosaleda (12,000)"
Mallorca, 4, 2, Osasuna, "Sunday, March 10, 2002"," Son Moix (19,000)"
Real Valladolid, 2, 4, Celta Vigo, "Sunday, March 10, 2002"," Nuevo Jose Zorilla Stadium (14,600)"
Valencia, 2, 0, Sevilla FC, "Sunday, March 10, 2002"," Mestalla Stadium (52,000)"
Real Sociedad, 0, 2, Tenerife, "Sunday, March 10, 2002"," Anoeta Stadium (25,600)"
Real Madrid, 3, 0, Villarreal, "Saturday, March 9, 2002"," Santiago Bernabeu (75,000)"
Real Betis, 2, 1, Barcelona, "Saturday, March 9, 2002"," Estadio Manuel Ruiz de Lopera (53,000)"
Deportivo La Coru̱a, 1, 1, Rayo Vallecano, "Saturday, March 9, 2002"," Riazor Stadium (33,000)"
Las Palmas, 2, 1, Alav̩s, "Saturday, March 9, 2002"," Estadio Insular (16,165)"
Alav̩s, 3, 1, Real Valladolid, "Sunday, March 3, 2002"," Mendizorroza Stadium (13,146)"
Barcelona, 5, 1, Malaga, "Sunday, March 3, 2002"," Camp Nou (53,000)"
Osasuna, 1, 1, Real Sociedad, "Sunday, March 3, 2002"," El Sadar (18,000)"
Rayo Vallecano, 0, 2, Mallorca, "Sunday, March 3, 2002"," Nuevo Vallecas Stadium (14,500)"
Real Zaragoza, 0, 1, Valencia, "Sunday, March 3, 2002"," La Romareda Stadium (32,000)"
Tenerife, 1, 1, Espanyol, "Sunday, March 3, 2002"," Estadio Heliodoro Rodriguez Lopez  (18,000)"
Athletic Bilbao, 3, 1, Las Palmas, "Sunday, March 3, 2002"," San Mames Stadium (34,000)"
Celta Vigo, 0, 1, Real Madrid, "Saturday, March 2, 2002"," Balaidos Stadium (30,000)"
Sevilla FC, 0, 1, Deportivo La Coru̱a, "Saturday, March 2, 2002"," Estadio Ramon Sanchez Pizjuan (29,000)"
Villarreal, 1, 1, Real Betis, "Saturday, March 2, 2002"," El Madrigal (15,000)"
Espanyol, 3, 1, Las Palmas, "Sunday, February 24, 2002"," Montjuic Stadium (16,800)"
Malaga, 2, 1, Villarreal, "Sunday, February 24, 2002"," La Rosaleda (12,000)"
Mallorca, 0, 4, Sevilla FC, "Sunday, February 24, 2002"," Son Moix (16,500)"
Real Sociedad, 2, 2, Rayo Vallecano, "Sunday, February 24, 2002"," Anoeta Stadium (25,000)"
Real Valladolid, 2, 0, Athletic Bilbao, "Sunday, February 24, 2002"," Nuevo Jose Zorilla Stadium (16,000)"
Tenerife, 3, 1, Osasuna, "Sunday, February 24, 2002","  (16,000)"
Real Betis, 4, 1, Celta Vigo, "Sunday, February 24, 2002"," Estadio Manuel Ruiz de Lopera (48,825)"
Real Madrid, 3, 1, Alav̩s, "Saturday, February 23, 2002"," Santiago Bernabeu (60,000)"
Deportivo La Coru̱a, 1, 0, Real Zaragoza, "Saturday, February 23, 2002"," Riazor Stadium (28,000)"
Valencia, 2, 0, Barcelona, "Saturday, February 23, 2002"," Mestalla Stadium (53,000)"
Alav̩s, 0, 1, Real Betis, "Sunday, February 17, 2002"," Mendizorroza Stadium (13,000)"
Osasuna, 1, 1, Espanyol, "Sunday, February 17, 2002"," El Sadar (17,000)"
Rayo Vallecano, 2, 0, Tenerife, "Sunday, February 17, 2002"," Nuevo Vallecas Stadium (15,000)"
Real Zaragoza, 1, 0, Mallorca, "Sunday, February 17, 2002"," La Romareda Stadium (26,000)"
Sevilla FC, 0, 1, Real Sociedad, "Sunday, February 17, 2002","  (25,000)"
Las Palmas, 1, 1, Real Valladolid, "Sunday, February 17, 2002"," Estadio Insular (14,500)"
Celta Vigo, 0, 0, Malaga, "Sunday, February 17, 2002"," Balaidos Stadium (18,000)"
Athletic Bilbao, 2, 1, Real Madrid, "Saturday, February 16, 2002"," San Mames Stadium (35,000)"
Villarreal, 1, 1, Valencia, "Saturday, February 16, 2002"," El Madrigal (22,000)"
Barcelona, 3, 2, Deportivo La Coru̱a, "Saturday, February 16, 2002"," Camp Nou (49,000)"
Deportivo La Coru̱a, 0, 0, Villarreal, "Sunday, February 10, 2002"," Riazor Stadium (30,000)"
Espanyol, 1, 0, Real Valladolid, "Sunday, February 10, 2002"," Montjuic Stadium (26,400)"
Malaga, 1, 0, Alav̩s, "Sunday, February 10, 2002"," La Rosaleda (11,000)"
Osasuna, 1, 0, Rayo Vallecano, "Sunday, February 10, 2002"," El Sadar (16,000)"
Real Madrid, 7, 0, Las Palmas, "Sunday, February 10, 2002"," Santiago Bernabeu (65,000)"
Real Sociedad, 3, 1, Real Zaragoza, "Sunday, February 10, 2002"," Anoeta Stadium (24,000)"
Tenerife, 1, 1, Sevilla FC, "Sunday, February 10, 2002","  (16,500)"
Real Betis, 1, 1, Athletic Bilbao, "Sunday, February 10, 2002"," Estadio Manuel Ruiz de Lopera (42,000)"
Mallorca, 0, 0, Barcelona, "Saturday, February 9, 2002"," Son Moix (22,000)"
Valencia, 0, 0, Celta Vigo, "Saturday, February 9, 2002"," Mestalla Stadium (50,000)"
Athletic Bilbao, 3, 2, Malaga, "Wednesday, February 6, 2002"," San Mames Stadium (28,000)"
Alav̩s, 1, 2, Valencia, "Wednesday, February 6, 2002"," Mendizorroza Stadium (13,000)"
Barcelona, 2, 0, Real Sociedad, "Wednesday, February 6, 2002"," Camp Nou "
Rayo Vallecano, 2, 2, Espanyol, "Wednesday, February 6, 2002"," Nuevo Vallecas Stadium "
Real Valladolid, 2, 1, Real Madrid, "Wednesday, February 6, 2002"," Nuevo Jose Zorilla Stadium (18,000)"
Real Zaragoza, 1, 1, Tenerife, "Wednesday, February 6, 2002"," La Romareda Stadium (22,000)"
Sevilla FC, 0, 0, Osasuna, "Wednesday, February 6, 2002","  (28,000)"
Villarreal, 2, 1, Mallorca, "Wednesday, February 6, 2002"," El Madrigal "
Las Palmas, 0, 0, Real Betis, "Wednesday, February 6, 2002"," Estadio Insular (20,460)"
Celta Vigo, 0, 2, Deportivo La Coru̱a, "Tuesday, February 5, 2002"," Balaidos Stadium (30,000)"
Espanyol, 2, 1, Real Madrid, "Sunday, February 3, 2002"," Montjuic Stadium (47,900)"
Malaga, 1, 1, Las Palmas, "Sunday, February 3, 2002"," La Rosaleda (7,000)"
Osasuna, 0, 0, Real Zaragoza, "Sunday, February 3, 2002"," El Sadar (18,000)"
Real Betis, 2, 0, Real Valladolid, "Sunday, February 3, 2002"," Estadio Manuel Ruiz de Lopera (33,000)"
Valencia, 2, 1, Athletic Bilbao, "Sunday, February 3, 2002"," Mestalla Stadium (50,000)"
Real Sociedad, 2, 1, Villarreal, "Saturday, February 2, 2002"," Anoeta Stadium (20,000)"
Mallorca, 0, 1, Celta Vigo, "Saturday, February 2, 2002"," Son Moix (18,000)"
Deportivo La Coru̱a, 0, 1, Alav̩s, "Saturday, February 2, 2002"," Riazor Stadium (27,000)"
Rayo Vallecano, 2, 1, Sevilla FC, "Saturday, February 2, 2002"," Nuevo Vallecas Stadium (13,000)"
Tenerife, 0, 6, Barcelona, "Saturday, February 2, 2002"," Estadio Heliodoro Rodriguez Lopez  (22,000)"
Alav̩s, 0, 4, Mallorca, "Sunday, January 27, 2002"," Mendizorroza Stadium (13,107)"
Athletic Bilbao, 1, 1, Deportivo La Coru̱a, "Sunday, January 27, 2002"," San Mames Stadium (30,000)"
Barcelona, 0, 1, Osasuna, "Sunday, January 27, 2002"," Camp Nou (37,500)"
Real Valladolid, 0, 0, Malaga, "Sunday, January 27, 2002"," Nuevo Jose Zorilla Stadium (13,000)"
Real Zaragoza, 3, 2, Rayo Vallecano, "Sunday, January 27, 2002"," La Romareda Stadium (25,000)"
Sevilla FC, 3, 0, Espanyol, "Sunday, January 27, 2002","  (29,000)"
Villarreal, 2, 1, Tenerife, "Sunday, January 27, 2002"," El Madrigal (17,000)"
Real Madrid, 1, 1, Real Betis, "Sunday, January 27, 2002"," Santiago Bernabeu (75,000)"
Celta Vigo, 3, 1, Real Sociedad, "Saturday, January 26, 2002"," Balaidos Stadium (17,000)"
Las Palmas, 0, 1, Valencia, "Saturday, January 26, 2002"," Estadio Insular (20,000)"
Rayo Vallecano, 2, 0, Alav̩s, "Wednesday, January 23, 2002"," Nuevo Vallecas Stadium (7,000)"
Espanyol, 1, 1, Real Betis, "Sunday, January 20, 2002"," Montjuic Stadium (40,000)"
Mallorca, 3, 0, Athletic Bilbao, "Sunday, January 20, 2002"," Son Moix (13,000)"
Osasuna, 2, 2, Villarreal, "Sunday, January 20, 2002"," El Sadar (15,000)"
Rayo Vallecano, 2, 1, Barcelona, "Sunday, January 20, 2002"," Nuevo Vallecas Stadium (12,000)"
Sevilla FC, 4, 2, Real Zaragoza, "Sunday, January 20, 2002","  (35,000)"
Valencia, 1, 2, Real Valladolid, "Sunday, January 20, 2002"," Mestalla Stadium (40,000)"
Tenerife, 1, 1, Celta Vigo, "Sunday, January 20, 2002","  (17,500)"
Deportivo La Coru̱a, 1, 0, Las Palmas, "Sunday, January 20, 2002"," Riazor Stadium (26,000)"
Real Sociedad, 1, 2, Alav̩s, "Saturday, January 19, 2002"," Anoeta Stadium (26,000)"
Malaga, 1, 1, Real Madrid, "Saturday, January 19, 2002"," La Rosaleda (21,000)"
Alav̩s, 1, 0, Tenerife, "Sunday, January 13, 2002"," Mendizorroza Stadium (13,105)"
Barcelona, 3, 1, Sevilla FC, "Sunday, January 13, 2002"," Camp Nou "
Celta Vigo, 1, 1, Osasuna, "Sunday, January 13, 2002"," Balaidos Stadium (18,000)"
Real Betis, 1, 1, Malaga, "Sunday, January 13, 2002"," Estadio Manuel Ruiz de Lopera (32,000)"
Real Valladolid, 3, 0, Deportivo La Coru̱a, "Sunday, January 13, 2002"," Nuevo Jose Zorilla Stadium (13,000)"
Real Zaragoza, 0, 0, Espanyol, "Sunday, January 13, 2002"," La Romareda Stadium (28,000)"
Las Palmas, 3, 1, Mallorca, "Sunday, January 13, 2002"," Estadio Insular "
Real Madrid, 1, 0, Valencia, "Sunday, January 13, 2002"," Santiago Bernabeu (75,000)"
Villarreal, 1, 1, Rayo Vallecano, "Saturday, January 12, 2002"," El Madrigal (15,000)"
Athletic Bilbao, 2, 1, Real Sociedad, "Saturday, January 12, 2002"," San Mames Stadium (40,000)"
Malaga, 2, 0, Espanyol, "Sunday, January 6, 2002"," La Rosaleda (10,000)"
Real Betis, 1, 3, Valencia, "Sunday, January 6, 2002"," Estadio Manuel Ruiz de Lopera (39,000)"
Real Valladolid, 2, 1, Mallorca, "Sunday, January 6, 2002"," Nuevo Jose Zorilla Stadium (10,000)"
Alav̩s, 0, 2, Osasuna, "Sunday, January 6, 2002"," Mendizorroza Stadium (14,227)"
Athletic Bilbao, 1, 2, Tenerife, "Sunday, January 6, 2002"," San Mames Stadium (30,000)"
Barcelona, 2, 0, Real Zaragoza, "Sunday, January 6, 2002"," Camp Nou (70,000)"
Celta Vigo, 2, 2, Rayo Vallecano, "Saturday, January 5, 2002"," Balaidos Stadium (26,000)"
Villarreal, 0, 2, Sevilla FC, "Saturday, January 5, 2002"," El Madrigal (10,000)"
Real Madrid, 3, 1, Deportivo La Coru̱a, "Saturday, January 5, 2002"," Santiago Bernabeu (77,000)"
Las Palmas, 0, 0, Real Sociedad, "Saturday, January 5, 2002"," Estadio Insular (16,500)"
Mallorca, 1, 1, Real Madrid, "Sunday, December 23, 2001"," Son Moix (22,000)"
Real Zaragoza, 3, 2, Villarreal, "Sunday, December 23, 2001"," La Romareda Stadium (25,000)"
Osasuna, 0, 1, Athletic Bilbao, "Sunday, December 23, 2001"," El Sadar (15,500)"
Real Sociedad, 6, 0, Real Valladolid, "Saturday, December 22, 2001"," Anoeta Stadium (20,000)"
Deportivo La Coru̱a, 2, 0, Real Betis, "Saturday, December 22, 2001"," Riazor Stadium (26,000)"
Sevilla FC, 0, 1, Celta Vigo, "Saturday, December 22, 2001"," Estadio Ramon Sanchez Pizjuan (25,000)"
Espanyol, 2, 0, Barcelona, "Saturday, December 22, 2001"," Montjuic Stadium (15,500)"
Valencia, 2, 1, Malaga, "Saturday, December 22, 2001"," Mestalla Stadium (40,000)"
Tenerife, 1, 3, Las Palmas, "Saturday, December 22, 2001"," Estadio Heliodoro Rodriguez Lopez  "
Athletic Bilbao, 1, 1, Rayo Vallecano, "Sunday, December 16, 2001"," San Mames Stadium (36,000)"
Celta Vigo, 2, 0, Real Zaragoza, "Sunday, December 16, 2001"," Balaidos Stadium (27,000)"
Real Betis, 1, 0, Mallorca, "Sunday, December 16, 2001"," Estadio Manuel Ruiz de Lopera (32,000)"
Real Valladolid, 0, 0, Tenerife, "Sunday, December 16, 2001"," Nuevo Jose Zorilla Stadium (11,000)"
Villarreal, 0, 1, Barcelona, "Sunday, December 16, 2001"," El Madrigal (23,000)"
Alav̩s, 0, 1, Sevilla FC, "Sunday, December 16, 2001"," Mendizorroza Stadium (15,000)"
Malaga, 1, 1, Deportivo La Coru̱a, "Sunday, December 16, 2001"," La Rosaleda (30,000)"
Real Madrid, 3, 1, Real Sociedad, "Saturday, December 15, 2001"," Santiago Bernabeu (50,000)"
Espanyol, 2, 3, Valencia, "Saturday, December 15, 2001"," Montjuic Stadium (6,000)"
Las Palmas, 1, 1, Osasuna, "Saturday, December 15, 2001"," Estadio Insular (17,500)"
Deportivo La Coru̱a, 1, 0, Valencia, "Sunday, December 9, 2001"," Riazor Stadium (31,000)"
Mallorca, 1, 1, Malaga, "Sunday, December 9, 2001"," Son Moix (13,800)"
Osasuna, 1, 0, Real Valladolid, "Sunday, December 9, 2001"," El Sadar (16,000)"
Rayo Vallecano, 0, 0, Las Palmas, "Sunday, December 9, 2001"," Nuevo Vallecas Stadium (11,000)"
Real Sociedad, 0, 0, Real Betis, "Sunday, December 9, 2001"," Anoeta Stadium (23,000)"
Real Zaragoza, 0, 2, Alav̩s, "Sunday, December 9, 2001"," La Romareda Stadium (25,000)"
Villarreal, 1, 1, Espanyol, "Sunday, December 9, 2001"," El Madrigal (15,000)"
Barcelona, 2, 2, Celta Vigo, "Sunday, December 9, 2001"," Camp Nou (75,000)"
Sevilla FC, 3, 3, Athletic Bilbao, "Saturday, December 8, 2001"," Estadio Ramon Sanchez Pizjuan (31,000)"
Tenerife, 0, 2, Real Madrid, "Saturday, December 8, 2001"," Estadio Heliodoro Rodriguez Lopez  (24,000)"
Athletic Bilbao, 2, 1, Real Zaragoza, "Sunday, December 2, 2001"," San Mames Stadium (40,000)"
Malaga, 1, 0, Real Sociedad, "Sunday, December 2, 2001"," La Rosaleda (10,000)"
Real Betis, 1, 0, Tenerife, "Sunday, December 2, 2001"," Estadio Manuel Ruiz de Lopera (44,500)"
Real Valladolid, 3, 1, Rayo Vallecano, "Sunday, December 2, 2001"," Nuevo Jose Zorilla Stadium (16,000)"
Las Palmas, 1, 0, Sevilla FC, "Sunday, December 2, 2001"," Estadio Insular (17,000)"
Celta Vigo, 3, 1, Villarreal, "Sunday, December 2, 2001"," Balaidos Stadium (17,000)"
Espanyol, 1, 0, Deportivo La Coru̱a, "Saturday, December 1, 2001"," Montjuic Stadium (41,250)"
Real Madrid, 2, 1, Osasuna, "Saturday, December 1, 2001"," Santiago Bernabeu (66,381)"
Alav̩s, 2, 0, Barcelona, "Saturday, December 1, 2001"," Mendizorroza Stadium (14,223)"
Valencia, 1, 1, Mallorca, "Saturday, December 1, 2001"," Mestalla Stadium (40,000)"
Celta Vigo, 4, 1, Espanyol, "Sunday, November 25, 2001"," Balaidos Stadium (28,000)"
Osasuna, 1, 2, Real Betis, "Sunday, November 25, 2001","  (17,000)"
Rayo Vallecano, 0, 3, Real Madrid, "Sunday, November 25, 2001"," Nuevo Vallecas Stadium (14,000)"
Real Sociedad, 2, 0, Valencia, "Sunday, November 25, 2001"," Anoeta Stadium (26,500)"
Real Zaragoza, 2, 1, Las Palmas, "Sunday, November 25, 2001"," La Romareda Stadium (29,000)"
Sevilla FC, 4, 0, Real Valladolid, "Sunday, November 25, 2001","  (33,000)"
Villarreal, 1, 0, Alav̩s, "Sunday, November 25, 2001"," El Madrigal (17,000)"
Tenerife, 1, 0, Malaga, "Sunday, November 25, 2001","  (12,000)"
Mallorca, 4, 1, Deportivo La Coru̱a, "Sunday, November 25, 2001"," Son Moix (16,000)"
Barcelona, 1, 2, Athletic Bilbao, "Saturday, November 24, 2001"," Camp Nou (70,000)"
Alav̩s, 1, 0, Celta Vigo, "Sunday, November 18, 2001"," Mendizorroza Stadium (14,100)"
Athletic Bilbao, 0, 0, Villarreal, "Sunday, November 18, 2001"," San Mames Stadium (35,000)"
Espanyol, 2, 1, Mallorca, "Sunday, November 18, 2001"," Montjuic Stadium (16,900)"
Malaga, 2, 1, Osasuna, "Sunday, November 18, 2001"," La Rosaleda (28,000)"
Real Valladolid, 2, 0, Real Zaragoza, "Sunday, November 18, 2001"," Nuevo Jose Zorilla Stadium (15,900)"
Valencia, 0, 0, Tenerife, "Sunday, November 18, 2001"," Mestalla Stadium (44,000)"
Real Betis, 2, 0, Rayo Vallecano, "Sunday, November 18, 2001"," Estadio Manuel Ruiz de Lopera (28,000)"
Real Madrid, 2, 1, Sevilla FC, "Saturday, November 17, 2001"," Santiago Bernabeu (76,300)"
Deportivo La Coru̱a, 3, 1, Real Sociedad, "Saturday, November 17, 2001"," Riazor Stadium (28,000)"
Las Palmas, 0, 0, Barcelona, "Saturday, November 17, 2001"," Estadio Insular (23,000)"
Alav̩s, 2, 1, Espanyol, "Sunday, November 11, 2001"," Mendizorroza Stadium (12,603)"
Celta Vigo, 2, 3, Athletic Bilbao, "Sunday, November 11, 2001"," Balaidos Stadium (19,000)"
Osasuna, 0, 0, Valencia, "Sunday, November 11, 2001","  (15,000)"
Rayo Vallecano, 3, 0, Malaga, "Sunday, November 11, 2001"," Nuevo Vallecas Stadium (10,000)"
Real Sociedad, 1, 2, Mallorca, "Sunday, November 11, 2001"," Anoeta Stadium (23,000)"
Real Zaragoza, 2, 1, Real Madrid, "Sunday, November 11, 2001"," La Romareda Stadium (32,000)"
Villarreal, 2, 0, Las Palmas, "Sunday, November 11, 2001"," El Madrigal (10,000)"
